group_name,keyword,priority,notes
jade_basics,翡翠,1,Primary category seed
jade_basics,翡翠吊坠,1,Core product search
jade_basics,翡翠项链,1,Core product search
jade_basics,翡翠耳饰,1,Core product search
jade_basics,翡翠戒指,2,Secondary product search
jade_basics,翡翠手链,2,Secondary product search
jade_basics,翡翠手串,2,Secondary product search
jade_basics,翡翠蛋面,1,High-frequency material form
jade_basics,翡翠镶嵌,1,Useful for modern settings
jade_basics,翡翠设计,1,Searches design-led posts
modern_jade_design,翡翠叠戴,1,High-value styling behavior
modern_jade_design,翡翠轻珠宝,1,Modern positioning cue
modern_jade_design,翡翠现代风,1,Modern aesthetic cue
modern_jade_design,翡翠项链设计,1,Explicit necklace design seed
modern_jade_design,翡翠极简,1,Minimalist direction
modern_jade_design,翡翠几何,2,Shape language cue
modern_jade_design,翡翠异形,2,Unconventional form cue
modern_jade_design,翡翠水滴,2,Product motif cue
modern_jade_design,翡翠甜甜圈,2,Specific motif cue
modern_jade_design,翡翠圆环,2,Specific motif cue
modern_jade_design,翡翠方牌,2,Traditional-modern bridge
material_combination,18k金翡翠,1,Core hybrid direction
material_combination,翡翠18k金,1,Core hybrid direction
material_combination,沉香翡翠,1,Priority hybrid direction
material_combination,翡翠沉香,1,Priority hybrid direction
material_combination,翡翠珍珠,1,Common mixed-material cue
material_combination,翡翠彩宝,1,Color-led hybrid cue
material_combination,翡翠钻石,1,Premium setting cue
material_combination,翡翠钻石镶嵌,1,Premium setting cue
material_combination,翡翠金镶嵌,1,Classic premium cue
material_combination,翡翠混搭,2,Broad hybrid search
style_and_scene,翡翠穿搭,1,Outfit-driven posts
style_and_scene,翡翠日常戴,1,Daily wear cue
style_and_scene,翡翠通勤,1,Office-wear cue
style_and_scene,翡翠送礼,1,Gift-intent cue
style_and_scene,翡翠礼物,1,Gift-intent cue
style_and_scene,翡翠高级感,1,Premium taste cue
style_and_scene,东方轻珠宝,1,Eastern-modern light jewelry cue
style_and_scene,东方珠宝,1,Eastern-modern positioning
style_and_scene,国风首饰,2,Eastern style cue
style_and_scene,叠戴项链,1,Layering cue
style_and_scene,层叠珠宝,2,Layering cue
price_and_gifting,3000元翡翠,1,Price-band search
price_and_gifting,5000元翡翠,1,Price-band search
price_and_gifting,8000元翡翠,1,Price-band search
price_and_gifting,小千翡翠,1,Trade-language price cue
price_and_gifting,中千翡翠,1,Trade-language price cue
price_and_gifting,大千翡翠,1,Trade-language price cue
price_and_gifting,小万翡翠,2,Upper-band comparison cue
price_and_gifting,预算5k珠宝,1,Budget-language cue
price_and_gifting,预算8k珠宝,1,Budget-language cue
price_and_gifting,翡翠价格,2,General price intent
price_and_gifting,翡翠性价比,2,Purchase evaluation cue
price_and_gifting,翡翠值得买吗,2,Purchase intent cue
price_and_gifting,翡翠送妈妈,1,Gift market cue
price_and_gifting,翡翠生日礼物,1,Gift market cue
price_and_gifting,翡翠节日礼物,1,Gift market cue
price_and_gifting,轻奢珠宝礼物,1,Price and gifting overlap
adjacent_categories,18k金项链,1,Adjacent category gold cue
adjacent_categories,18k金耳饰,1,Adjacent category gold cue
adjacent_categories,18k金戒指,1,Adjacent category gold cue
adjacent_categories,珍珠项链,1,Pearl trend cue
adjacent_categories,珍珠耳饰,1,Pearl trend cue
adjacent_categories,彩色宝石项链,1,Color jewelry cue
adjacent_categories,彩宝耳饰,1,Color jewelry cue
adjacent_categories,沉香手串,1,Agarwood cue
adjacent_categories,木质手串,2,Agarwood-adjacent cue
adjacent_categories,多巴胺珠宝,1,Color-driven trend cue
